11,Master Yi,"Jax, Teemo, Rammus","Lux, Ashe, Karthus","Jungle, Top",Assassin,"Although Master Yi cannot be slowed during his ultimate, he can still be disabled.","Master Yi is a DPS-based champion that relies more on his auto attacks for damage through extra attack speed and only occasional use of his abilities which tend to be more for personal utility. Because of his ease of usage with high damage DPS, he is rather infamous due to being hard to duel against, his Alpha Strike being a powerful invincible execute to low health targets, and his Highlander providing resets on his ability cooldowns without him missing a beat as he slays his enemies."
12,Alistar,"Janna, Vayne, Lulu","Blitzcrank, Leona, Thresh","Jungle, Bottom","Tank, Support",Don't stand too close to enemy tower when pushing so that Alistar won't be able to use Flash pulverize into headbutt combo.,"The most important thing a new Alistar should learn is the WQ combo. You should master it, as there is nothing more annoying than chasing an enemy and your Alistar knock him away. The trick is: just as the Headbutt animation starts (once you start moving towards an enemy), press and hold Pulverize. Don't let go of it, because once the headbutt ends, Pulverize will automatically trigger."
13,Ryze,"Cassiopeia, Xerath, Twisted Fate","Fizz, Renekton, Veigar","Mid, Top",Mage,"Ryze can outduel almost anyone in the game. Unless you're at a clear advantage, avoid fighting him 1v1.",Don't be afraid to use Overload to last hit minions as the spell has low cooldown and low mana cost.
14,Sion,"Morgana, Garen, Riven","Nasus, Tryndamere, Aatrox","Top, Jungle",Tank,"Try to burst down Sion's shield - this will prevent the shield from dealing any damage, cutting his damage down in half.","Sion relies heavily on good skill timing and placement in order to be useful - his whole kit (excepting Soul Furnace's shield) is relatively unreliable to use. But when he can work well together with his team or just outplay the opponent, Sion is a devastating force in team fights."
15,Sivir,"Vayne, Draven, Twitch","Caitlyn, Jinx, Graves",Bottom,Marksman,"Try to wait a split second longer before trading with her, as a lot of Sivir players will turn on their Spell Shield pre-emptively.","During the laning phase, you can harass enemy champions with Boomerang Blade to put pressure on them. Successful hits will force them to play safer and get zoned out. However, the mana cost of this playstyle is extremely high, due to Sivir's small mana pool."
16,Soraka,"Miss Fortune, Blitzcrank, Tristana","Karthus, Yasuo, Urgot","Bottom, Mid","Support, Mage",Always keep in mind that Soraka is able to cure all her allies in an instant. Don't get baited by this!,"Soraka's a support who works best in the immediately proximity of her marksman. Here she can keep her lane partner healthy with Astral Infusion before turning to Starcall to damage the enemy bot lane champions and restore some of her own health. Equinox has serious potential to win trades, too – casting it beneath an enemy AD caster ( Graves and Varus, for example) greatly reduces their damage output, while using it beneath the enemy support cuts off their ability to use their array of abilities and summoner spells."
17,Teemo,"Yorick, Pantheon, Jayce","Darius, Nasus, Garen","Top, Bottom","Fighter, Marksman",Avoid fighting a Teemo if you're an auto-attack based champion. His blind will mess you up.,Sometimes it is better to stand still and go into Camouflage for an escape mechanism than to use Move Quick or Recall.
18,Tristana,"Corki, Draven, Lucian","Miss Fortune, Caitlyn, Vayne",Bottom,Marksman,Avoid standing near low health creeps to not take additional damage from Tristana's Explosive shots.,"Draw a Bead becomes extremely powerful later in the game, allowing Tristana to hit enemies from a greater distance than most."
19,Warwick,"Yorick, Udyr, Olaf","Cho'Gath, Shen, Malphite","Jungle, Top","Fighter, Tank",A Quicksilver Sash and will stop Warwick's ultimate immediately.,"Warwick's strength comes from his incredible sustain and durability in both the lane and jungle with his Eternal Thirst and Hungering Strike along with his ability to support his team with Hunter's Call and lockdown high priority targets with Infinite Duress. However, he lacks hard burst and is reliant on his teammates to follow up with him."
20,Nunu,"Cassiopeia, Sona, Soraka","Yorick, Heimerdinger, Jax","Jungle, Top, Mid, Bottom","Support, Mage, Assassin, Fighter",It's imperative to disable (silence/stun/knock-up/displacement) him when he starts channeling his ultimate - otherwise you will take tons of damage.,"Utilizing Visionary can enable Nunu to constantly harass with Ice Blast and heal with Consume. Blood Boil can also be utilized to trigger Visionary more often, especially if laning with a friendly ranged champion like Ashe or Tristana."
21,Miss Fortune,"Tristana, Draven, Caitlyn","Ezreal, Vayne, Graves",Bottom,Marksman,Miss Fortune is very vulnerable when she is channeling her ultimate. Either focus her or disable (stun/silence/knock-up/displacement) her.,"Miss Fortune ramps up movement speed with her passive Strut if she isn't attacked by an enemy unit. Avoid getting hit to keep her passive. This is an exceptional passive when it comes to reaching lanes or closing distances fast, such as crossing lanes to support or gank."
22,Ashe,"Ezreal, Graves, Caitlyn","Vayne, Udyr, Jinx",Bottom,Marksman,"Play aggressively in lane against her, because her Volley has a really long cooldown at earlier levels.","When facing melee champions, it is highly advisable for Ashe to 'kite' her opponents via her Frost Shot."
23,Tryndamere,"Teemo, Jax, Renekton","Aatrox, Riven, Master Yi","Top, Jungle",Fighter,Armor items such as Thornmail and Randuin's Omen do extremely well against Tryndamere because he is completely auto-attack based.,"Bloodlust is Tryndamere's first and most important ability. Not only does it increase your lane sustainability, but gives you more attack damage plus a bonus in accordance to your missing health. In short, the less health Tryndamere has, the more damage he deals."
24,Jax,"Malphite, Renekton, Garen","Yasuo, Aatrox, Fiora","Top, Jungle","Fighter, Tank",Avoid attacking him when he turns on his Counter Strike.,"When laning, Jax is an excellent zoner when in the brush, because his Leap Strike - Empower combo enables heavy harassment with a lot of pressure. Be careful as these two abilities drain a lot of mana."
25,Morgana,"Talon, Katarina, Vladimir","Leona, Braum, Blitzcrank","Bottom, Mid","Support, Mage",A Quicksilver Sash will get rid of Morgana's ultimate chains.,"Morgana is considered to be strong in two roles; as an AP caster at mid lane, or as a disengage and poke-based support."
26,Zilean,"Morgana, Annie, Karma","Zac, Darius, Zed","Bottom, Mid","Support, Mage","Be careful of his level 2 all-ins, as he has one of the strongest level 2 bursts in the game.","Placing Time Bomb on allied initiators such as Malphite, Hecarim, and Amumu as they are about to initiate on multiple enemies is a good way to help rack up burst damage. Using Time Bombs on Evelynn, Shaco, Rengar, KhaZix, Talon, Wukong, or Twitch can lead to a heavy unexpected nuke to the enemy team, thanks to these characters' ability to stealth."
27,Singed,"Teemo, Vladimir, Jayce","Jax, Zed, Fiora",Top,Tank,"Do not chase singed, as his poison will continuously reset against you.","Poison Trail is very effective for farming and harassing, allowing Singed to dominate his lane. Poisoning the opposing minions as they advance is an effective strategy for farming lanes."
28,Evelynn,"Ryze, Kassadin, Cassiopeia","Fiddlesticks, Amumu, Sejuani",Jungle,Assassin,Evelynn is vulnerable to slows after she uses her Dark Frenzy.,"Evelynn is an effective roamer. Use Shadow Walk to scout out and surprise enemy champions that overextend and possibly get a kill. This is most effective early game. By roaming, this allows your solo laner to farm minions while keeping the enemy solo back and losing them gold and experience."
29,Twitch,"Caitlyn, Lee Sin, Jinx","Ezreal, Vayne, Sivir","Bottom, Jungle","Marksman, Assassin",Buying a pink ward for lane will deny him from ambushing you.,"Be careful when using Ambush near enemy turrets, as turrets can see invisible units."
30,Karthus,"Kassadin, Katarina, Fizz","Yasuo, Heimerdinger, Vel'Koz",Mid,Mage,Buying a hexdrinker or a Banshee's Veil will greatly increase your chance to survive Requiem.,"Sometimes it can benefit Karthus to die a strategic death, by rushing into a group of enemies and casting Defile the enemy will focus you long enough for your team to initiate without affecting your chance of winning a team fight, as Karthus can cast his spells even after dying."
31,Cho'Gath,"Warwick, Kayle, Jax","Yorick, Malphite, Katarina","Top, Mid, Jungle","Tank, Mage",Dodging his rupture by turning back shortly will let you escape him easily.,"Carnivore allows Cho'Gath to maintain his health and mana, making him a great solo laner. Note, however, that the mana restored is fairly low - it takes about 4 full minion waves to pay for 1 cast of Rupture."
32,Amumu,"Shyvana, Lee Sin, Shaco","Blitzcrank, Yasuo, Katarina",Jungle,Tank,Try not to bunch up against his AOE CC ultimate.,"Cursed Touch reduces magic resistance by up to 25. When going for the kill, make sure you get in at least one melee attack, as many champions only have 30 base magic resistance."
33,Rammus,"Trundle, Vi, Shyvana","Tryndamere, Master Yi, Fiora","Top, Jungle",Tank,"Try not to target him if he has his Defensive Curl on - as he will take much less damage, and he'll also return some damage back to you.",Powerball can be used to interrupt cast dashes such as Jax's Leap Strike or Tristana's Rocket Jump mid-flight.
34,Anivia,"Fizz, Kassadin, Diana","Ryze, Kayle, Lissandra",Mid,Mage,Punish her for missing her stun.,"Anivia's is a combo mage based on landing and combining her skills onto a single enemy. However, 3 of her skills can affect an area of effect, which increases her utility in various situations. Since her kit is focused on a quick combo and a finishing move for one enemy, being a utility combo mage with a great amount of crowd control, she is definitely a mid laner."
35,Shaco,"Lee Sin, Vi, Warwick","Amumu, Master Yi, Maokai",Jungle,Assassin,Always keep an eye out for a puff of smoke in the fog of war - this means Shaco is nearby.,"Backstab is most effective after using Deceive. A guaranteed critical strike with a bonus 20% damage (not a true critical), then quickly followed by a 120% damage Two-Shiv Poison will deal a reasonable amount of damage to any champion's health."
36,Dr. Mundo,"Darius, Olaf, Riven","Jax, Nasus, Amumu",Top,"Tank, Fighter",Ignite significantly lowers Mundo's Health regen from his passive and ultimate.,Dr. Mundo can stay in lane very long since he is manaless and his Adrenaline Rush allows him to constantly regenerate health.
37,Sona,"Blitzcrank, Leona, Thresh","Janna, Lulu, Nunu",Bottom,Support,Do not clump in teamfights in a line - as the Sona will make your whole team dance!,Power Chord has three distinct effects based on the last basic ability Sona used. All of these effects scale with AP.
38,Kassadin,"Talon, Zed, Patheon","Karthus, Katarina, Brand","Mid, Top",Assassin,Kassadin gets completely countered by AD damage early game due to him being melee and having a passive only strong against AP.,"Against enemy mages, Null Sphere is an effective harassment tool that is unblockable by creep waves. The shield can be used to absorb spells sent in retaliation."
39,Irelia,"Olaf, Jax, Renekton","Zed, Jayce, Vladimir",Top,"Fighter, Assassin","Attack speed reduction is extremely strong against Irelia, which lessens the effectiveness of her Hiten Style's active.","Irelia's Ionian Fervor is her staple ability, making it very difficult to lock her down in teamfights and skirmishes with crowd control due to her extended tenacity."
40,Janna,"Sona, Nami, Blitzcrank","Leona, Kennen, Alistar",Bottom,Support,"In lane, if she shields herself, it leaves her carry more open to harassment/being killed.","A quick Howling Gale followed by a Zephyr and an auto-attack while the enemy is in the air is an effectiveharassment method, as it is relatively safe from retaliation due to the amount of CC applied."
41,Gangplank,"Pantheon, Fiora, Irelia","Malzahar, Nasus, Teemo","Top, Bottom","Fighter, Support",Buying early armor against Gangplank is very effective as it will lower the damage from his Parrrley and auto attacks.,Gangplank is an excellent fighter in 1v1 situations due to his high single target damage output and CC removal. Always look for players out of position.
42,Corki,"Caitlyn, Draven, Varus","Jinx, Tristana, Vayne","Bottom, Mid",Marksman,Avoid extended fights because his Gatling gun will tear your armor.,"When cast on a group of enemy minions, Phosphorus Bomb along with Missile Barrage allows Corkito farm extremely fast."
43,Karma,"Veigar, Nami, Malzahar","Morgana, LeBlanc, Leona","Bottom, Mid","Mage, Support","Avoid letting her harass you for free, as it will lower her Mantra's cooldown.","Of her skills, Inner Flame and Soulflare have the lowest mana cost and cooldown, making it easy to reduce Mantra's cooldown faster."
44,Taric,"Sivir, Lulu, Nami","Miss Fortune, Blitzcrank, Draven",Bottom,"Support, Tank","When his stun is down or if he accidentally stuns a minion, punish him hard.",Taric's passive Gemcraft allows him to reduce the cooldown of his abilities by two seconds every time he attacks after using a spell as well as deal additional bonus damage. Try to weave in an autoattack after every spell in order to keep spamming your abilities quickly in succession and maximize damage.
45,Veigar,"Fizz, Ryze, Zed","Karthus, Ahri, Karma",Mid,Mage,Veigar's ultimate deals more damage the more AP you have - so it's good to pick AD champions against a Veigar.,"Veigar's strength as a mage comes from his overall high damage, the zoning potential and CC of his Event Horizon, and mage-killer Primordial Burst. This, combined with his theoretical infinite ability powerstacking, makes him a dangerous opponent as a mage."
48,Trundle,"Sona, Teemo, Jax","Lee Sin, Renekton, Yorick","Top, Jungle",Fighter,"Try your best move him out of his Frozen domain during a fight, as it gives him a massive bonus to his movespeed, attackspeed, and healing.",King's Tribute allows Trundle to jungle effectively as well as keep a sustained presence in lane.
50,Swain,"Viktor, Cassiopeia, Lux","Vladimir, Ahri, Diana","Mid, Top",Mage,Swain excels in teamfights and skirmishes that last for an extended period of time. Avoid this!,"Due to Carrion Renewal offering mana, and Ravenous Flock offering health, Swain can potentially stay in a lane for a very long time. Note that Carrion Renewal cannot hope to offset the massive mana cost of Ravenous Flock, and his ultimate must be used sparingly. Combined with aggressive lane control, it is recommended Swain takes a solo lane to amass gold and experience."
51,Caitlyn,"Sivir, Jinx, Varus","Vayne, Quinn, Graves",Bottom,Marksman,Stay behind minions so her Piltover Peacemaker will do less damage.,Take advantage of Headshot for harassing enemy champions.
53,Blitzcrank,"Leona, Alistar, Morgana","Sona, Kog'Maw, Draven",Bottom,"Tank, Support",Stay behind minions to avoid getting hooked.,"Mana Barrier can be a great source of survivability if itemized for, and its low cooldown ensures it is almost always up for skirmishes."
54,Malphite,"Rumble, Cho'Gath, Vladimir","Jax, Fiora, Pantheon","Jungle, Top",Tank,"If you're an AD champion, avoid getting hit by his Ground Slam, as it will significantly lower your attack speed.","Due to Malphite's Granite Shield, Ground Slam and Unstoppable Force, he is extremely well-suited to a tanking and initiating role."
55,Katarina,"Diana, Malzahar, Fiddlesticks","Karthus, Lux, Nidalee",Mid,Assassin,Save a disable (stun/snare/silence/knock-up/displacement) for her to stop her from channeling her ultimate and dealing massive AOE damage.,Katarina is one of the few manaless champions and is based entirely on cooldowns. Use this to your advantage by using spells whenever possible.
56,Nocturne,"Olaf, Udyr, Vi","Twisted Fate, Kassadin, Darius","Jungle, Top","Tank, Fighter, Assassin","His Duskbringer can be seen in the fog of war, so if you think he is doing objectives such as dragon or baron, look for his Duskbringer particle.",Umbra Blades allows Nocturne to jungle well. Attack speed runes and his Shroud of Darknesssynergize well with Umbra Blades since its cooldown is decreased with every autoattack landed.
57,Maokai,"Shyvana, Nasus, Swain","Riven, Volibear, Darius","Top, Jungle",Tank,Saplings can be outrun if you're fast enough.,"Sap Magic gives him a lot of staying power during the lane phase, especially if facing/laning with champions that spam skills like Evelynn, Akali, Cassiopeia, or Karthus."
58,Renekton,"Garen, Pantheon, Ryze","Jax, Riven, Darius",Top,"Fighter, Tank","Pay attention to Renekton's fury bar, as he will most likely play aggressive when it turns red.","While some might have played manaless champions before, Renekton's Fury resource (shared with Tryndamere and Shyvana) can catch many players who are unfamiliar with Renekton off-guard. While he needs fury to enhance his abilities, he does not need it to cast them. Try to use this to your advantage."
59,Jarvan IV,"Yorick, Shen, Jax","Vladimir, Kayle, Jayce","Jungle, Top","Fighter, Tank",Displacement/dash/jump abilities will let you leap out of his ultimate easily.,"Martial Cadence can only affect a unit once every few seconds, so it is a good idea to target another unit or champion to activate the passive during that time."
60,Elise,"Wukong, Yorick, Mordekaiser","Renekton, Garen, Pantheon","Jungle, Mid",Mage,Stay behind minions so that she won't be able to stun you.,Spider Form is most effective at finishing off enemies with low health; Human Form's Neurotoxindoes more damage to healthy foes.
61,Orianna,"LeBlanc, Syndra, Ahri","Annie, Ryze, Anivia",Mid,Mage,"Try not to stand next to her ball, because she can cast Dissonance and do damage around it.","The ball moves slowly, so calling it back to use Command: Attack is not ideal. Use Command: Attack to position the ball near the enemy and then simply use it again to harass. This way the ball can hit them easily."
62,Wukong,"Lee Sin, Darius, Garen","Zed, Jayce, Teemo",Top,"Tank, Fighter",Avoid clumping up so that Wukong won't be able to use his ultimate to its full potential.,"Wukong can be a decent tank due to his Stone Skin passive as well as being able to dodge abilities with Decoy. Wukong can be a very effective AoE assassin, with Crushing Blow, Nimbus Strike and deals very high damage with a knock-up with Cyclone, though he is even able to covertly dive in and slay any vital carries on the enemy team). Wukong can also be used as the usual bruiser/fighter style, engaging and disengaging with solid damage and solid survivability."
63,Brand,"Kassadin, LeBlanc, Fizz","Annie, Ryze, Lissandra","Mid, Bottom","Mage, Support","Run away from the initial target that Brand uses his ultimate on, as it will bounce to multiple targets.",Deciding what spell to apply Blaze first with is a very important factor when engaging the enemy.
64,Lee Sin,"Trundle, Renekton, Udyr","Wukong, Kha'Zix, Shaco","Jungle, Top","Fighter, Tank",It's usually not worth chasing a Lee Sin because of how mobile his skills make him.,"As it is with most champions, the key to becoming a skilled Lee Sin player is to adapt your strategy to maximize his passive ability. Due to his kit, he is a very versatile mix of both AD Caster and basic attack DPS, being able to inflict damage with a solid mix of attack speed and offensive ability burst."
67,Vayne,"Caitlyn, Draven, Quinn","Lucian, Sivir, Ezreal",Bottom,Marksman,"Try not to stay near walls, as Vayne's Condemn will stun you if it knocks you back against a wall.",For best burst damage try combining the third hit from Silver Bolts and the bonus damage from Tumblein the same attack.
68,Rumble,"Yorick, Xin Zhao, Riven","Nasus, Malphite, Teemo",Top,Mage,Quickly get out of Rumble's ultimate AOE zone as it deals massive damage per second.,"It's important to keep a close eye on your heat gauge whenever casting, with the exception of The Equalizer. All of Rumble's abilities are stronger from 50% heat to 99% heat, but overheating (at 100% heat) will silence you."
69,Cassiopeia,"Galio, LeBlanc, Talon","Ryze, Swain, Mordekaiser",Mid,Mage,Try to turn around when you see her ultimate being cast to avoid being stunned.,Stacking up Aspect of the Serpent is paramount for Cassiopeia.
72,Skarner,"Xin Zhao, Cho'Gath, Olaf","Mordekaiser, Warwick, Vi",Jungle,Fighter,"knock-back/terrain abilities (Janna's Monsoon, Trundle's Pillar of Ice) are strong against Skarner because he will have a hard time trying to pull your allies.","Skarner is a durable, speedy bruiser, excelling at chasing and locking down targets and dealing consistent hybrid damage. His kit best serves him in the jungle, offering fast clear times and effective ganks."
74,Heimerdinger,"Syndra, Ziggs, Lux","Kassadin, Katarina, Diana",Mid,Mage,Killing his turrets first when cast will greatly lower his damage output.,The strength of Heimerdinger lies in his ability to hold lanes safely using his H-28G Evolution Turrets and keep enemies at a distance with the threat of his Hextech Micro-Rockets and CH-1 Concussion Grenade. This along with his deceptive amount of sustained damage can catch enemies unaware.
75,Nasus,"Teemo, Riven, Darius","Jax, Hecarim, Irelia","Top, Jungle","Tank, Fighter","Don't let him free farm, his Q will get stronger in late game.","Constantly last hitting with Siphoning Strike will have an enormous impact by the end of a game, and will be your primary source of damage."
76,Nidalee,"Yasuo, Patheon, Akali","Jayce, Garen, Gnar","Jungle, Mid, Bottom","Support, Mage, Assassin, Fighter","Unless you think you can catch a Nidalee with certainty, don't chase a Nidalee.",Using Javelin Toss just as an enemy minion dies can lead to a surprise hit on an enemy that thought they were safe behind minions and allow follow up attacks in cougar.
77,Udyr,"Ashe, Trundle, Teemo","Lee Sin, Irelia, Patheon","Jungle, Top",Fighter,Pray to gods the enemy Udyr didn't watch Trick2G and his way of playing Udyr (Godyr). If the ememy did Surr@10 even if your team is 40/3.,"It's essential to plan ahead which abilities you will learn with Udyr. Every ability has multiple usages and five levels. The max champion level is 18, limiting one of Udyr's abilities to Tier 3, or two to Tier 4. Typically, a player would choose either Tiger Stance or Phoenix Stance as their main source of damage."
78,Poppy,"Olaf, Darius, Teemo","Gangplank, Jax, Riven",Top,"Fighter, Tank",Avoid diving a Poppy due to her passive making her deceptively tanky.,"Poppy's Valiant Fighter tooltip can be misleading. 50% damage reduction only applies to the portion of damage that actually exceeds 10% of Poppy's current health, not entire damage of that attack."
79,Gragas,"Fizz, Yasuo, Ahri","Lux, Orianna, Katarina","Mid, Jungle",Mage,Gragas's ultimate is extremely strong against grouped up champions - so avoid being clumped together.,"Gragas is a strong solo lane champion, due to his sustain from Happy Hour."
80,Pantheon,"Shen, Darius, Malphite","Gangplank, Teemo, Jax","Top, Jungle","Fighter, Tank",Shoot skillshot spells where hes about to land such as morg bind as it'll stop his movement before he lands and he'll be a free target.,"Pantheon holds the highest movement speed in the game at 355, tied with Master Yi. Use his quick movement speed and strong ranged harass from Spear Shot to whittle your opponents down in lane optimally to take full advantage of his strong early game."
81,Ezreal,"Draven, Graves, Caitlyn","Jinx, Ashe, Lucian","Bottom, Mid","Marksman, Mage",Focus him if he uses his Arcane Shift to enter teamfights.,"Ezreal's strength as a marksman comes from his versatile kit, high mixed damage, and attack speed steroid from Rising Spell Force. His Mystic Shot, Essence Flux, and Arcane Shift have decent range and good utility, encouraging a caster playstyle, and his Trueshot Barrage can deal high burst damage to multiple targets. However, he is very reliant on landing his skillshots for most of his damage output."
82,Mordekaiser,"Garen, Swain, Yorick","Diana, Fizz, Akali","Top, Mid","Tank, Mage",A Quicksilver Sash will get rid of Mordekaiser's ultimate debuff.,"Mordekaiser can make excellent use of his Iron Man shield at all stages of the game. Provided that you have a way to damage an enemy, it can both absorb harassment and give powerful survivability during team fights, letting him stay in the field longer than most other champions. However, keep in mind that spamming skills will result in consistently low health without sufficient health regeneration or spell vamp."
83,Yorick,"Cho'Gath, Trundle, Xin Zhao","Teemo, Darius, Jayce",Top,"Tank, Fighter","If he casts his ultimate on his ally, killing Yorick will also kill the Revenant.","Omen of War resets the attack timer, much like Nasus's Siphoning Strike. For this reason it is better to cast it immediately after an auto-attack for increased damage output."
84,Akali,"Lee Sin, Garen, Mordekaiser","Fizz, Yasuo, Teemo",Mid,Assassin,"After level 6, try to prevent her use of Mark of the Assassin, as she can proc it twice using her dashes.","Beyond rank 1, the Mark of the Assassin debuff lasts longer than the cooldown, allowing Akali to perform a high-damage burst combo by timing her attacks. Specifically, Akali can cast Mark of the Assassin, follow it up with Shadow Dance, then finish with another Mark of the Assassin for extremely high burst damage."
85,Kennen,"Ryze, Janna, Swain","Riven, Olaf, Darius","Top, Mid, Bottom","Mage, Support",Just pick a Ground Pokemon. Everyone knows that Ground Pokemons counter Electric Pokemon!,"Thundering Shuriken can be used to detect enemies hiding in the brush, as a sound effect will play if it impacts a target."
86,Garen,"Teemo, Pantheon, Jayce","Riven, Renekton, Jax",Top,"Fighter, Tank","Avoid staying in lane with low health, as Garen's ultimate will deal massive damage to a lower health target.","Garen's strength as a bruiser comes from his passive, Perseverance and Courage to keep himself healthy along with his decent early damage and utility from Decisive Strike and Judgment, with Demacian Justice providing a reliable and powerful execute."
89,Leona,"Morgana, Alistar, Janna","Blitzcrank, Sona, Varus",Bottom,Support,"If she activates her Eclipse, it means she's about to engage.","Leona is primarily played as a support and her strength as a champion comes from her incredible amount of hard CC from Shield of Daybreak, Zenith Blade, and Solar Flare, the team damage potential from Sunlight, and her natural durability from her stats and Eclipse."
90,Malzahar,"Gangplank, Lux, Galio","Katarina, Yasuo, Vladimir",Mid,Mage,Buying a Quicksilver Sash will let you stop him from suppressing you with his ultimate.,Malzahar can Summon Voidlings by spamming abilities at spawn. This can be useful at beginning of game by using an ability to quickly decimate the jungle monsters or enemy minions in your lane.
91,Talon,"Lee Sin, Diana, Mordekaiser","Kassadin, Lux, Ahri",Mid,Assassin,Talon is very vulnerable when his Cutthroat is on cooldown. Try to take advantage of the situation when it is on cooldown.,"As an AD caster assassin, Talon serves as an anti-mage or anti-carry. Against mages or carries, his high burst damage can easily overwhelm them in one combo."
92,Riven,"Garen, Olaf, Renekton","Nasus, Gnar, Aatrox",Top,Fighter,"Avoid fighting against a Riven in skirmishes, as her raw damage and CC will usually outpower most champions.",Autoattacking in between each Broken Wings allows for the most sustained damage as you consume Runic Blade stacks to deal extra damage.
96,Kog'Maw,"Blitzcrank, Lucian, Jinx","Dr. Mundo, Cho'Gath, Caitlyn","Bottom, Mid",Marksman,"Kog'Maw does not have any escape abilities, making him an easy target. Try to focus him in teamfights first.","Kog'Maw's strength lies in his mixed damage and ability to strike enemies from a distance utilizing his Caustic Spittle and Living Artillery while keeping enemies at bay with his Void Ooze and outright destroying those too close with Bio-Arcane Barrage . However, he has notably short attack range while Bio-Arcane Barrage is on cooldown and suffers from low base stats (apart from mana) and lack of mobility."
98,Shen,"Yorick, Vladimir, Jayce","Pantheon, Malphite, Jarvan IV",Top,Tank,"Shen can be interrupted while channeling his ultimate, preventing him to teleport to his ally. Try laning against him with a champion with a disable.","Getting Vorpal Blade early allows Shen to farm well and stay in the lane/jungle due to its heal. Ki Strike also allows Shen to jungle along with Vorpal Blade without taking too much damage. Because he uses energy instead of mana, the only reason to recall is when his health is low, so keep it high with Vorpal Blade's heal."
